raceId,year,name,retired,completed,reason,frequency_counts,retired_percentage
60,2006,British Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', '+2 Laps', '+3 Laps', '+3 Laps', 'Oil leak']","{'+1 Lap': 6, 'Accident': 3, '+2 Laps': 1, '+3 Laps': 2, 'Oil leak': 1}",0.5909090909090909
61,2006,Canadian Grand Prix,17,5,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Engine', '+2 Laps', 'Retired', '+4 Laps', 'Mechanical']","{'+1 Lap': 7, 'Accident': 5, 'Engine': 1, '+2 Laps': 1, 'Retired': 1, '+4 Laps': 1, 'Mechanical': 1}",0.7727272727272727
62,2006,United States Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Engine', 'Transmission', '+11 Laps']","{'+1 Lap': 3, 'Accident': 10, 'Engine': 1, 'Transmission': 1, '+11 Laps': 1}",0.7272727272727273
63,2006,French Grand Prix,15,7,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Engine', '+2 Laps', '+2 Laps', 'Brakes', '+3 Laps', 'Transmission', 'Mechanical', 'Technical', 'Wheel rim']","{'+1 Lap': 6, 'Engine': 1, '+2 Laps': 2, 'Brakes': 1, '+3 Laps': 1, 'Transmission': 1, 'Mechanical': 1, 'Technical': 1, 'Wheel rim': 1}",0.6818181818181818
64,2006,German Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Disqualified', 'Disqualified', 'Engine', 'Gearbox', 'Brakes', 'Driveshaft', 'Water leak', 'Fuel pump']","{'+1 Lap': 3, 'Accident': 2, 'Disqualified': 2, 'Engine': 1, 'Gearbox': 1, 'Brakes': 1, 'Driveshaft': 1, 'Water leak': 1, 'Fuel pump': 1}",0.5909090909090909
65,2006,Hungarian Grand Prix,18,4,"['+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Spun off', 'Spun off', 'Accident', 'Disqualified', 'Engine', 'Engine', '+3 Laps', '+3 Laps', 'Electrical', '+4 Laps', 'Driveshaft', 'Track rod', '+5 Laps']","{'+1 Lap': 3, 'Collision': 2, 'Spun off': 2, 'Accident': 1, 'Disqualified': 1, 'Engine': 2, '+3 Laps': 2, 'Electrical': 1, '+4 Laps': 1, 'Driveshaft': 1, 'Track rod': 1, '+5 Laps': 1}",0.8181818181818182
66,2006,Turkish Grand Prix,14,8,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Spun off', 'Spun off', 'Spun off', '+2 Laps', 'Gearbox', 'Water leak', '+17 Laps']","{'+1 Lap': 5, 'Collision': 2, 'Spun off': 3, '+2 Laps': 1, 'Gearbox': 1, 'Water leak': 1, '+17 Laps': 1}",0.6363636363636364
67,2006,Italian Grand Prix,12,10,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Engine', 'Engine', '+2 Laps', '+2 Laps', 'Hydraulics', 'Brakes', 'Driveshaft']","{'+1 Lap': 5, 'Engine': 2, '+2 Laps': 2, 'Hydraulics': 1, 'Brakes': 1, 'Driveshaft': 1}",0.5454545454545454
68,2006,Chinese Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Spun off', 'Disqualified', 'Oil pressure', '+3 Laps', '+4 Laps', 'Throttle', 'Pneumatics']","{'+1 Lap': 5, 'Collision': 1, 'Spun off': 1, 'Disqualified': 1, 'Oil pressure': 1, '+3 Laps': 1, '+4 Laps': 1, 'Throttle': 1, 'Pneumatics': 1}",0.5909090909090909
69,2006,Japanese Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Engine', '+2 Laps', 'Gearbox', '+3 Laps', 'Driveshaft', 'Steering']","{'+1 Lap': 6, 'Accident': 1, 'Engine': 1, '+2 Laps': 1, 'Gearbox': 1, '+3 Laps': 1, 'Driveshaft': 1, 'Steering': 1}",0.5909090909090909
70,2006,Brazilian Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Suspension', 'Suspension', 'Accident', '+2 Laps', '+2 Laps', 'Gearbox']","{'+1 Lap': 5, 'Collision': 2, 'Suspension': 2, 'Accident': 1, '+2 Laps': 2, 'Gearbox': 1}",0.5909090909090909
71,2005,Australian Grand Prix,10,10,"['+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', '+2 Laps', '+2 Laps', '+2 Laps', 'Gearbox', '+4 Laps']","{'+1 Lap': 3, 'Accident': 2, '+2 Laps': 3, 'Gearbox': 1, '+4 Laps': 1}",0.5
72,2005,Malaysian Grand Prix,11,9,"['+1 Lap', 'Collision', 'Collision', 'Spun off', 'Spun off', 'Engine', 'Engine', '+2 Laps', '+3 Laps', '+4 Laps', 'Tyre']","{'+1 Lap': 1, 'Collision': 2, 'Spun off': 2, 'Engine': 2, '+2 Laps': 1, '+3 Laps': 1, '+4 Laps': 1, 'Tyre': 1}",0.55
73,2005,Bahrain Grand Prix,14,6,"['+1 Lap', '+1 Lap', '+1 Lap', 'Suspension', 'Engine', 'Engine', '+2 Laps', 'Hydraulics', 'Brakes', '+3 Laps', 'Clutch', 'Electrical', 'Electrical', '+4 Laps']","{'+1 Lap': 3, 'Suspension': 1, 'Engine': 2, '+2 Laps': 1, 'Hydraulics': 1, 'Brakes': 1, '+3 Laps': 1, 'Clutch': 1, 'Electrical': 2, '+4 Laps': 1}",0.7
74,2005,San Marino Grand Prix,9,9,"['+1 Lap', '+1 Lap', '+1 Lap', 'Accident', '+2 Laps', 'Hydraulics', 'Clutch', 'Electrical', 'Driveshaft']","{'+1 Lap': 3, 'Accident': 1, '+2 Laps': 1, 'Hydraulics': 1, 'Clutch': 1, 'Electrical': 1, 'Driveshaft': 1}",0.5
75,2005,Spanish Grand Prix,12,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Spun off', 'Engine', 'Gearbox', '+3 Laps', '+3 Laps', 'Puncture', 'Wheel rim']","{'+1 Lap': 4, 'Spun off': 2, 'Engine': 1, 'Gearbox': 1, '+3 Laps': 2, 'Puncture': 1, 'Wheel rim': 1}",0.6666666666666666
76,2005,Monaco Grand Prix,10,8,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', 'Hydraulics', '+3 Laps', '+5 Laps']","{'+1 Lap': 4, 'Accident': 3, 'Hydraulics': 1, '+3 Laps': 1, '+5 Laps': 1}",0.5555555555555556
77,2005,European Grand Prix,10,10,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Accident', 'Accident', '+2 Laps', '+3 Laps']","{'+1 Lap': 5, 'Spun off': 1, 'Accident': 2, '+2 Laps': 1, '+3 Laps': 1}",0.5
