raceId,driverId,milliseconds,time,lap,year,driver
846,20,115216,1:55.216,38,2011,Sebastian Vettel
846,20,81036,1:21.036,39,2011,Sebastian Vettel
846,20,80203,1:20.203,40,2011,Sebastian Vettel
846,20,79660,1:19.660,41,2011,Sebastian Vettel
846,20,79245,1:19.245,42,2011,Sebastian Vettel
846,20,79747,1:19.747,43,2011,Sebastian Vettel
846,20,79275,1:19.275,44,2011,Sebastian Vettel
846,20,79224,1:19.224,45,2011,Sebastian Vettel
846,20,79316,1:19.316,46,2011,Sebastian Vettel
846,20,79039,1:19.039,47,2011,Sebastian Vettel
846,20,79191,1:19.191,48,2011,Sebastian Vettel
846,20,79456,1:19.456,49,2011,Sebastian Vettel
846,20,79314,1:19.314,50,2011,Sebastian Vettel
846,20,79471,1:19.471,51,2011,Sebastian Vettel
846,20,79399,1:19.399,52,2011,Sebastian Vettel
846,20,79587,1:19.587,53,2011,Sebastian Vettel
846,20,79827,1:19.827,54,2011,Sebastian Vettel
846,20,79508,1:19.508,55,2011,Sebastian Vettel
846,20,79963,1:19.963,56,2011,Sebastian Vettel
846,20,79345,1:19.345,57,2011,Sebastian Vettel
846,20,79218,1:19.218,58,2011,Sebastian Vettel
846,20,79071,1:19.071,59,2011,Sebastian Vettel
846,20,79046,1:19.046,60,2011,Sebastian Vettel
846,20,79189,1:19.189,61,2011,Sebastian Vettel
846,20,79627,1:19.627,62,2011,Sebastian Vettel
846,20,79747,1:19.747,63,2011,Sebastian Vettel
846,20,79323,1:19.323,64,2011,Sebastian Vettel
846,20,79811,1:19.811,65,2011,Sebastian Vettel
846,20,79482,1:19.482,66,2011,Sebastian Vettel
846,20,80411,1:20.411,67,2011,Sebastian Vettel
846,20,79779,1:19.779,68,2011,Sebastian Vettel
846,20,85712,1:25.712,69,2011,Sebastian Vettel
846,20,129529,2:09.529,70,2011,Sebastian Vettel
846,20,123655,2:03.655,71,2011,Sebastian Vettel
846,20,1313041,21:53.041,72,2011,Sebastian Vettel
846,20,125402,2:05.402,73,2011,Sebastian Vettel
846,20,78215,1:18.215,74,2011,Sebastian Vettel
846,20,78532,1:18.532,75,2011,Sebastian Vettel
846,20,76939,1:16.939,76,2011,Sebastian Vettel
846,20,76557,1:16.557,77,2011,Sebastian Vettel
846,20,76267,1:16.267,78,2011,Sebastian Vettel
847,18,143984,2:23.984,1,2011,Jenson Button
847,18,126581,2:06.581,2,2011,Jenson Button
847,18,125396,2:05.396,3,2011,Jenson Button
847,18,123343,2:03.343,4,2011,Jenson Button
847,18,100560,1:40.560,5,2011,Jenson Button
847,18,97974,1:37.974,6,2011,Jenson Button
847,18,98237,1:38.237,7,2011,Jenson Button
847,18,117792,1:57.792,8,2011,Jenson Button
847,18,111816,1:51.816,9,2011,Jenson Button
847,18,130653,2:10.653,10,2011,Jenson Button
847,18,125557,2:05.557,11,2011,Jenson Button
847,18,119687,1:59.687,12,2011,Jenson Button
