raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
961,2016,Italy,14,Italian Grand Prix,Autodromo Nazionale di Monza,45.6156,9.28111,4648089,2016-09-04 12:00:00,2016-09-04,http://en.wikipedia.org/wiki/2016_Italian_Grand_Prix,31.38,0.0,2.06,0.0,Clear,Clear,clear sky,,Clear,53,53
962,2016,Singapore,15,Singapore Grand Prix,Marina Bay Street Circuit,1.2914,103.864,6948950,2016-09-18 12:00:00,2016-09-18,http://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix,31.11,75.0,2.1,270.0,Clouds,Rain,light rain,0.17,Rain,61,61
963,2016,Malaysia,2,Malaysian Grand Prix,Sepang International Circuit,2.76083,101.738,5832776,2016-10-02 07:00:00,2016-10-02,http://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix,33.76,75.0,5.14,300.0,Clouds,Clouds,broken clouds,,Clouds,56,56
964,2016,Japan,22,Japanese Grand Prix,Suzuka Circuit,34.8431,136.541,5203333,2016-10-09 05:00:00,2016-10-09,http://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix,22.16,95.0,6.7,330.0,Clouds,Clouds,overcast clouds,,Clouds,53,53
965,2016,USA,69,United States Grand Prix,Circuit of the Americas,30.1328,-97.6411,5892618,2016-10-23 19:00:00,2016-10-23,http://en.wikipedia.org/wiki/2016_United_States_Grand_Prix,26.81,75.0,5.7,170.0,Clear,Clouds,broken clouds,,Clouds,56,56
966,2016,Mexico,32,Mexican Grand Prix,Autódromo Hermanos Rodríguez,19.4042,-99.0907,6031402,2016-10-30 19:00:00,2016-10-30,http://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix,19.77,75.0,2.6,90.0,Haze,Clouds,broken clouds,,Clouds,71,71
967,2016,Brazil,18,Brazilian Grand Prix,Autódromo José Carlos Pace,-23.7036,-46.6997,10861335,2016-11-13 16:00:00,2016-11-13,http://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix,18.74,100.0,4.12,160.0,Rain,Rain,light rain,0.66,Rain,71,71
968,2016,United Arab Emirates,24,Abu Dhabi Grand Prix,Yas Marina Circuit,24.4672,54.6031,5884013,2016-11-27 13:00:00,2016-11-27,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,27.14,0.0,5.14,340.0,Clear,Clear,clear sky,,Clear,55,55
969,2017,Australia,1,Australian Grand Prix,Albert Park Grand Prix Circuit,-37.8497,144.968,5051672,2017-03-26 05:00:00,2017-03-26,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,25.03,0.0,5.7,200.0,Clear,Clear,clear sky,,Clear,58,57
970,2017,China,17,Chinese Grand Prix,Shanghai International Circuit,31.3389,121.22,5856158,2017-04-09 06:00:00,2017-04-09,http://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix,13.05,100.0,6.0,40.0,Mist,Mist,mist,,Mist,56,56
